	id	sentence	linearization
0	Hin_Geo_ncert_10stnd_1ch_0007	EsA nahIM hE.	(hE_1:TAM(0_hE_1):k1(EsA):neg(nahIM_1):CLAUSE_TYPE(negative))
1	Hin_Geo_ncert_10stnd_1ch_0008	saMsAXana mAnavIya kriyAoM kA pariNAma hE.	(hE_1:TAM(0_hE_1):k1(saMsAXana_1:attr_gen(m):attr_num(sg):attr_per(a)):k1s(pariNAma_1:attr_gen(m):attr_num(sg):attr_per(a):r6(kriyA_1:attr_gen(f):attr_num(pl):attr_per(a):mod(mAnavIya_1))):CLAUSE_TYPE(affirmative))
2	Hin_Geo_ncert_10stnd_1ch_0009	mAnava svayaM saMsAXanoM kA mahawwvapUrNa hissA hEM.	(hE_1:TAM(0_hE_1):k1(svayaM:pof__cn(mAnava_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(hissA_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(mahawwvapUrNa_1)):CLAUSE_TYPE(affirmative))
3	Hin_Geo_ncert_10stnd_1ch_0011	ina saMsAXanoM kA vargIkaraNa nimna prakAra se kiyA jA sakawA hE.	(vargIkaraNa+kara:TAM(0_sakawA_hE_1):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(yaha)):adv(prakAra_1:attr_gen(m):attr_num(sg):attr_per(a):mod(nimna_1)):CLAUSE_TYPE(affirmative))
4	Hin_Geo_ncert_10stnd_1ch_0012	uwpawwi ke AXAra para - jEva Ora ajEva.	(Ora_1:ccof(jEva_1:attr_gen(m):attr_num(sg):attr_per(a)):ccof(ajEva_1):CLAUSE_TYPE(affirmative))
5	Hin_Geo_ncert_10stnd_1ch_0013	samApyawA ke AXAra para - navIkaraNa yogya Ora anavIkaraNa yogya.	(yogya_1:mod(navIkaraNa_1:attr_gen(m):attr_num(sg):attr_per(a)):jjmod(Ora_1:ccof(anavIkaraNa_1)):CLAUSE_TYPE(affirmative))
6	Hin_Geo_ncert_10stnd_1ch_0014	svAmiwva ke AXAra para - vyakwigawa, sAmuxAyika, rARtrIya Ora aMwarrARtrIya.	(Ora_1:mod(vyakwigawa_1:mod(rARtrIya_1:pof__cn(sAmuxAyika_1))):mod(aMwarrARtrIya_1):CLAUSE_TYPE(affirmative))
7	Hin_Geo_ncert_10stnd_1ch_0015	vikAsa ke swara ke AXAra para - saMBAvI, vikasiwa BaMdAra Ora saMciwa koRa.	(Ora_1:ccof(BaMdAra_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):mod(saMBAvI_1:mod(vikasiwa_1))):ccof(koRa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(saMciwa_1:attr_ne(per))):CLAUSE_TYPE(affirmative))
8	Hin_Geo_ncert_10stnd_1ch_0016	saMsAXanoM ke prakAra.	(prakAra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
9	Hin_Geo_ncert_10stnd_1ch_0017	uwpawwi ke AXAra para.	(AXAra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(uwpawwi_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
