	hin	eng	hin_id	eng_id	hin_gloss	eng_gloss	hin_ex	eng_ex	ign
10000	अवस्था_3	age_1	26750	15242955	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['a prolonged period of time']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10001	अवस्था_3	age_1	26750	15145171	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['a time in life (usually defined in years) at which some particular qualification or power arises']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	['she was now of school age', 'tall for his eld']	True
10002	अवस्था_3	age_1	26750	15254028	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['an era of history having some distinctive feature']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	['we live in a litigious age']	True
10003	अवस्था_3	age_1	26750	248026	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['grow old or older']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	['She aged gracefully', 'we age every day--what a depressing thought!', 'Young men senesce']	True
10004	अवस्था_3	age_1	26750	15153787	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['a late time of life']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10005	अवस्था_3	age_1	27670	15242955	* उदासी या उत्तेजना की अवस्था	['a prolonged period of time']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10006	अवस्था_3	age_1	27670	15153787	* उदासी या उत्तेजना की अवस्था	['a late time of life']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10007	अवस्था_3	age_1	27670	15242955	* उदासी या उत्तेजना की अवस्था	['a prolonged period of time']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10008	अवस्था_3	age_1	27670	15145171	* उदासी या उत्तेजना की अवस्था	['a time in life (usually defined in years) at which some particular qualification or power arises']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	['she was now of school age', 'tall for his eld']	True
10009	अवस्था_3	age_1	27670	15254028	* उदासी या उत्तेजना की अवस्था	['an era of history having some distinctive feature']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	['we live in a litigious age']	True
