,conc_label_wx,conc_label_utf,conc_in_eng,mrs_conc
0,aBI_4,अभी_4,now_9,_now_a_1
1,PZilahAla_1,फ़िलहाल_1,now_10,_now_a_1
2,PilahAla_1,फिलहाल_1,now_11,_now_a_1
3,isa+samaya_1,इस+समय_1,now_12,_now_a_1
4,isa+vakwa_1,इस+वक्त_1,now_13,_now_a_1
5,aWa_5,अथ_5,now_14,_now_a_1
6,samprawi_1,सम्प्रति_1,now_15,_now_a_1
7,aBU_1,अभू_1,now_16,_now_a_1
8,aBE_1,अभै_1,now_17,_now_a_1
9,saxya_1,सद्य_1,now_18,_now_a_1
10,varwamAna+meM_1,वर्तमान+में_1,now_19,_now_a_1
11,Aja-kala_3,आज-कल_3,now_20,_now_a_1
12,Ajakala_1,आजकल_1,now_21,_now_a_1
13,Aja+kala_1,आज+कल_1,now_22,_now_a_1
14,AjakAla_1,आजकाल_1,now_23,_now_a_1
15,ina+xinoM_1,इन+दिनों_1,now_24,_now_a_1
16,ambu_1,अम्बु_1,water_36,_water_n_1
17,aMBa_1,अंभ_1,water_37,_water_n_1
18,apaka_1,अपक_1,water_38,_water_n_1
19,uxaka_1,उदक_1,water_39,_water_n_1
20,uxak_1,उदक्_1,water_40,_water_n_1
21,XaruNa_1,धरुण_1,water_41,_water_n_1
22,wapojA_1,तपोजा_1,water_42,_water_n_1
23,rewas_2,रेतस्_2,water_43,_water_n_1
24,arNa_1,अर्ण_1,water_44,_water_n_1
25,vAja_3,वाज_3,water_45,_water_n_1
26,qwa_3,ऋत_3,water_46,_water_n_1
27,Savala_1,शवल_1,water_47,_water_n_1
28,Savara_1,शवर_1,water_48,_water_n_1
29,savala_1,सवल_1,water_49,_water_n_1
30,savara_1,सवर_1,water_50,_water_n_1
31,nalina_3,नलिन_3,water_51,_water_n_1
32,Ganarasa_1,घनरस_1,water_52,_water_n_1
33,GanasAra_1,घनसार_1,water_53,_water_n_1
34,xahanArAwi_1,दहनाराति_1,water_54,_water_n_1
35,asra_1,अस्र_1,water_55,_water_n_1
36,aMXa_1,अंध_1,water_56,_water_n_1
37,anXa_1,अन्ध_1,water_57,_water_n_1
38,akRiwa_1,अक्षित_1,water_58,_water_n_1
39,Sabara_1,शबर_1,water_59,_water_n_1
40,vasu_1,वसु_1,water_60,_water_n_1
41,kIlAla_1,कीलाल_1,water_61,_water_n_1
42,wAmara_1,तामर_1,water_62,_water_n_1
43,irA_2,इरा_2,water_63,_water_n_1
44,nIvara_1,नीवर_1,water_64,_water_n_1
45,yoni_8,योनि_8,water_65,_water_n_1
