,word,meaning,pos
0,अ,first vowel of the Devanāgarī syllabary,noun
1,अकार,sound /ə/,noun
2,अकार˚आदिक्रम,alphabetical order,noun
3,अंक,sthg written: a letter,noun
4,अंक,marginal annotation,noun
5,अंक,numerical position: place,noun
6,अंक,or mark,noun
7,अंक+दे,embrace,verb
8,अंक+भर,embrace,verb
9,अंक+लगा,embrace,verb
10,अंक-गणित,arithmetic,noun
11,अंकगत,taken into an embrace,adj
12,अंकगत,seated close beside,adj
13,अंकधारण,bearing a mark,noun
14,अंकधारण,marking with a stamp,noun
15,अंकधारी,possessing a body,adj
16,अंक-पट्टी,wooden slate,noun
17,अंक-पत्र,stamp,noun
18,अंक-पत्र,revenue,noun
19,अंक-माल,embrace,noun
20,अंक-शास्त्र,statistics,noun
21,अंक-शास्त्र˚ई,statistician,noun
22,अँकड़,curl or to shrink,verb
23,अँकड़,become crisp or dry,verb
24,अँकड़ा,hooked implement,noun
25,अँकड़ा,cause to curl or shrink,verb
26,अँकड़ा,make crisp,verb
27,अँकड़ी,small hook,noun
28,अँकड़ी,any implement with a curved or hooked end,noun
29,अँक,be valued,verb
30,अँक,be marked,verb
31,अंकनीय,requiring noting,adj
32,अंकनीय,or registering,adj
33,अँकरी,wet grain,verb
34,अँकरौरी,small stone,noun
35,अँकवार,reg  an armful of cut corn,noun
36,अँकवार+दे,embrace,verb
37,अँकवार+को,embrace,verb
38,अँकवार+भर,embrace,verb
39,अँकवार+में+ले,take in one's arms,verb
40,अँकवार+में+लेना,or lap,noun
41,अँकवार+ले,embrace,verb
42,अँकवार+को,embrace,verb
43,अँकाई,specivaluation of crops for division between tenant and landlord,noun
44,अँकाई,cost of or payment for valuing,noun
45,अँका,cause to be valued or appraised,verb
46,अंकुर,fig offspring,noun
47,अंकुर+आ,sprouts or buds to shoot,verb
48,अंकुर+उग,sprouts or buds to shoot,verb
49,अंकुर+निकल,sprouts or buds to shoot,verb
50,अंकुर+फूट,sprouts or buds to shoot,verb
51,अंकुश+दे,goad,verb
52,अंकुश+दे,spur,verb
53,अंकुश+दे,goad,verb
54,अंकुश+मार,goad,verb
55,अंकुश+मार,spur,verb
56,अंकुश+मार,goad,verb
57,अंकुश+लगा,goad,verb
58,अंकुश+लगा,spur,verb
59,अंकुश+लगा,goad,verb
60,अंकुश+को,goad,verb
61,अंकुश+को,spur,verb
62,अंकुश+को,hold in submission,verb
63,अंकुश+में+रख,hold in submission,verb
64,अंकुश+में+रख,curb,verb
65,अँकुसी,hooked implement,noun
66,अँकुसी,skeleton key,noun
67,अंकेक्षक,see sv,noun
68,अंकेक्षण,see sv,noun
69,अँकोड़ा,large hook,noun
70,अँकोड़ा,grappling iron,noun
71,अँकोर,light meal,noun
72,अँकोर,take to the bosom,verb
73,अँकोर,make crisp,verb
74,अंग+ऐंड़ा+कर,twist the body or limbs: to show haughtiness,verb
75,अंग+कर,take to oneself,verb
76,अंग+कर,accept,verb
77,अंग+करना,as supreme,noun
78,अंग+कर,incorporate,verb
79,अंग+गोद,tattoo,verb
80,अंग+का,tattoo,verb
81,अंग+चुरा,feel constraint,verb
82,अंग+चुरा,feel shame,verb
83,अंग+छू,touch the body,verb
84,अंग+ढीले+हो,fig to grow weak,verb
85,अंग+ढीले+हो,grow old,verb
86,अंग+तोड़,stretch the body,verb
87,अंग+तोड़,flail in distress,verb
88,अंग+दे,rest briefly,verb
89,अंग+दे,take a rest,verb
90,अंग+मोड़,turn,verb
91,अंग+मोड़,or to stretch the body,verb
92,अंग+मोड़,yawn,verb
93,अंग+मोड़,turn,verb
94,अंग+लग,be brought close to the body,verb
95,अंग+लगा,bring close to the body,verb
96,अंग+लगा,embrace,verb
97,अंग+लगा,put on,verb
98,अंग+लगा,take away,verb
99,अंग+लगा,join,verb
100,अंग-घाट,paralysis,noun
