	conc_label_wx	conc_label_utf	conc_in_eng	mrs_conc
0	akAra_1	अकार_1	letter_1	_letter_n_of
1	aMka_12	अंक_12	line_1	_line_n_of
2	aMka_13	अंक_13	stamp_1	_stamp_n_1
3	aMka_14	अंक_14	pricemark_1	_pricemark/NN_u_unknown
4	aMka_15	अंक_15	syllable_1	_syllable_n_1
5	aMka_16	अंक_16	hip_1	_hip_n_1
6	aMka_17	अंक_17	body_1	_body_n_1
7	aMka+lagA_1	अंक+लगा_1	embrace_1	_embrace_v_1
8	aMka-pawra_1	अंक-पत्र_1	stamp_2	_stamp_n_1
9	aMka-pawra_2	अंक-पत्र_2	revenue_1	_send_v_1
10	aMka-pawra_3	अंक-पत्र_3	revenue_2	nominalization
11	aMka-SAswra_1	अंक-शास्त्र_1	statistics_1	_statistics_n_1
12	aMka-SAswra˚I_1	अंक-शास्त्र˚ई_1	statistician_1	_statistician_n_1
13	aMkekRaNa_1	अंकेक्षण_1	auditing_1	_audit_v_1
14	aMkekRaNa_2	अंकेक्षण_2	auditing_2	nominalization
15	aMkekRA_1	अंकेक्षा_1	auditing_3	_audit_v_1
16	aMkekRA_2	अंकेक्षा_2	auditing_4	nominalization
17	aMkekRA_3	अंकेक्षा_3	audit_1	_audit_n_of
18	aMkaka_3	अंकक_3	stamp_3	_stamp_n_1
19	azkadZA_1	अँकड़ा_1	arrowhead_1	_arrowhead_n_1
20	azkadZA_2	अँकड़ा_2	parch_1	udef_q
21	azkadZA_3	अँकड़ा_3	parch_2	_parch/NN_u_unknown
22	azkadZAhata_1	अँकड़ाहट_1	shrinking_1	_shrink_v_1
23	azkadZAhata_2	अँकड़ाहट_2	shrinking_2	nominalization
24	azkadZAhata_3	अँकड़ाहट_3	crispness_1	_offspring_n_1
25	azkadZAhata_4	अँकड़ाहट_4	dryness_1	_dryness/NN_u_unknown
26	azkadZAhata_5	अँकड़ाहट_5	cramp_1	_cramp_n_1
27	azkadZI_1	अँकड़ी_1	arrowhead_2	_arrowhead_n_1
28	azkadZI_2	अँकड़ी_2	barb_1	_barb_n_1
29	aMkana_6	अंकन_6	outlining_1	_outline_v_to
30	aMkana_7	अंकन_7	outlining_2	nominalization
31	aMkana_8	अंकन_8	registering_1	_register_v_1
32	aMkana_9	अंकन_9	registering_2	nominalization
33	aMkana_10	अंकन_10	appraising_1	_appraise_v_1
34	aMkana_11	अंकन_11	appraising_2	nominalization
35	azkarOrI_1	अँकरौरी_1	shard_1	_shard/NN_u_unknown
36	azkavAra_1	अँकवार_1	bosom_1	_bosom/NN_u_unknown
37	azkavAra+ko_1	अँकवार+को_1	embrace_2	_embrace_v_1
38	azkavAra+le_1	अँकवार+ले_1	embrace_3	_embrace_v_1
39	azkavEyA_1	अँकवैया_1	valuer_1	_valuer/NN_u_unknown
40	azkavEyA_2	अँकवैया_2	assessor_1	_assessor/NN_u_unknown
41	azkAva_1	अँकाव_1	appraisal_1	_appraisal_n_of
42	aMkiwa_5	अंकित_5	noted_1	_note_v_to
43	aMkiwa_6	अंकित_6	noted_2	parg_d
44	aMkiwa_7	अंकित_7	stamped_1	_flame_v_1
45	aMkiwa_8	अंकित_8	branded_1	_blaze_v_1
46	aMkiwa_9	अंकित_9	outlined_1	_outline_v_to
47	aMkiwa_10	अंकित_10	outlined_2	parg_d
48	aMkiwa_11	अंकित_11	stained_1	_stain_v_1
49	aMkiwa_12	अंकित_12	stained_2	parg_d
50	aMkura_3	अंकुर_3	shoot_1	_shoot_n_1
51	aMkura_4	अंकुर_4	scar_1	_scar_n_1
52	aMkuraka_1	अंकुरक_1	nest_1	_nest_n_of
53	aMkuraNa_1	अंकुरण_1	sprouting_1	_sprout_v_1
54	aMkuraNa_2	अंकुरण_2	sprouting_2	nominalization
55	aMkuraNa_3	अंकुरण_3	shooting_1	_shooting_n_1
56	aMkuraNa_4	अंकुरण_4	germination_1	_germination_n_1
57	azkura_2	अँकुर_2	shoot_2	_shoot_v_1
58	azkura_3	अँकुर_3	bud_1	_bud_v_1
59	aMkuriwa_1	अंकुरित_1	germinated_1	_germinate_v_cause
60	aMkuriwa_2	अंकुरित_2	germinated_2	parg_d
61	aMkuriwa_3	अंकुरित_3	begun_1	_begin_v_1
62	aMkuriwa_4	अंकुरित_4	begun_2	parg_d
63	aMkuSa_3	अंकुश_3	goad_1	_goad/NN_u_unknown
64	aMkuSa_4	अंकुश_4	transspur_1	_transspur/NN_u_unknown
65	aMkuSa_5	अंकुश_5	inhibition_1	_inhibition_n_1
66	aMkuSa+xe_1	अंकुश+दे_1	goad_2	udef_q
67	aMkuSa+xe_2	अंकुश+दे_2	goad_3	_goad/NN_u_unknown
68	aMkuSa+xe_3	अंकुश+दे_3	goad_4	udef_q
69	aMkuSa+xe_4	अंकुश+दे_4	goad_5	_goad/NN_u_unknown
