	word	meaning	pos
2	अकार_1	letter_1	noun
4	अंक_1	number_1	noun
5	अंक_2	figure_1	noun
6	अंक_3	mark_1	noun
7	अंक_4	spot_1	noun
8	अंक_5	line_1	noun
9	अंक_6	stamp_1	noun
10	अंक_7	brand_1	noun
11	अंक_8	pricemark_1	noun
13	अंक_9	syllable_1	noun
15	अंक_10	number_2	noun
16	अंक_11	issue_1	noun
19	अंक_12	valuation_1	noun
20	अंक_13	act_1	noun
21	अंक_14	point_1	noun
22	अंक_15	hip_1	noun
23	अंक_16	lap_1	noun
24	अंक_17	embrace_1	noun
25	अंक_18	body_1	noun
26	अंक+दे_1	embrace_2	verb
27	अंक+भर_1	embrace_3	verb
28	अंक+लगा_1	embrace_4	verb
29	अंक-गणित_1	arithmetic_1	noun
36	अंकधारी_1	1_1	adj
39	अंक-पत्र_1	stamp_2	noun
40	अंक-पत्र_2	revenue_1	noun
41	अंक-माल_1	embrace_5	noun
42	अंक-शास्त्र_1	statistics_1	noun
43	अंक-शास्त्र˚ई_1	statistician_1	noun
44	अंकेक्षक_1	auditor_1	noun
45	अंकेक्षण_1	auditing_1	noun
46	अंकेक्षा_1	auditing_2	noun
47	अंकेक्षा_2	audit_1	noun
48	अंकक_1	stamp_3	noun
49	अंकक_2	seal_1	noun
52	अँकड़ा_1	hook_1	noun
54	अँकड़ा_2	arrowhead_1	noun
57	अँकड़ा_3	parch_1	verb
58	अँकड़ा_4	dry_1	verb
59	अँकड़ाहट_1	shrinking_1	noun
60	अँकड़ाहट_2	crispness_1	noun
61	अँकड़ाहट_3	dryness_1	noun
62	अँकड़ाहट_4	cramp_1	noun
65	अँकड़ी_1	arrowhead_2	noun
66	अँकड़ी_2	barb_1	noun
67	अंकन_1	outlining_1	noun
68	अंकन_2	drawing_1	noun
69	अंकन_3	marking_1	noun
70	अंकन_4	noting_1	noun
71	अंकन_5	registering_1	noun
72	अंकन_6	valuing_1	noun
73	अंकन_7	appraising_1	noun
75	अँकना_1	appraised_1	noun
76	अँकना_2	assessed_1	noun
83	अँकरौरी_1	shard_1	noun
85	अँकवार_1	embrace_6	noun
86	अँकवार_2	bosom_1	noun
87	अँकवार_3	lap_2	noun
88	अँकवार_4	breast_1	noun
90	अँकवार+दे_1	embrace_7	verb
91	अँकवार+को_1	embrace_8	verb
92	अँकवार+भर_1	embrace_9	verb
95	अँकवार+ले_1	embrace_10	verb
96	अँकवार+को_2	embrace_11	verb
97	अँकवैया_1	valuer_1	noun
98	अँकवैया_2	appraiser_1	noun
99	अँकवैया_3	assessor_1	noun
104	अँकाव_1	valuation_2	noun
105	अँकाव_2	appraisal_1	noun
106	अंकित_1	numbered_1	adj
107	अंकित_2	noted_1	adj
108	अंकित_3	marked_1	adj
109	अंकित_4	ruled_1	adj
110	अंकित_5	stamped_1	adj
111	अंकित_6	branded_1	adj
112	अंकित_7	lettered_1	adj
113	अंकित_8	outlined_1	adj
114	अंकित_9	drawn_1	adj
115	अंकित_10	spotted_1	adj
116	अंकित_11	stained_1	adj
117	अँकुड़ा_1	see_1	noun
118	अंकुर_1	sprout_1	noun
119	अंकुर_2	shoot_1	noun
120	अंकुर_3	bud_1	noun
121	अंकुर_4	scar_1	noun
127	अंकुरक_1	nest_1	noun
128	अंकुरण_1	sprouting_1	noun
129	अंकुरण_2	shooting_1	noun
130	अंकुरण_3	germination_1	noun
131	अँकुर_1	sprout_2	verb
132	अँकुर_2	shoot_2	verb
133	अँकुर_3	germinate_1	verb
134	अँकुर_4	bud_2	verb
135	अंकुरित_1	sprouted_1	adj
136	अंकुरित_2	germinated_1	adj
137	अंकुरित_3	begun_1	adj
138	अंकुश_1	goad_1	noun
139	अंकुश_2	transspur_1	noun
140	अंकुश_3	impetus_1	noun
141	अंकुश_4	inhibition_1	noun
142	अंकुश+दे_1	goad_2	verb
143	अंकुश+दे_2	spur_1	verb
144	अंकुश+दे_3	goad_3	verb
145	अंकुश+मार_1	goad_4	verb
146	अंकुश+मार_2	spur_2	verb
147	अंकुश+मार_3	goad_5	verb
148	अंकुश+लगा_1	goad_6	verb
149	अंकुश+लगा_2	spur_3	verb
150	अंकुश+लगा_3	goad_7	verb
151	अंकुश+को_1	goad_8	verb
152	अंकुश+को_2	spur_4	verb
155	अंकुश+में+रख_1	curb_1	verb
156	अँकुसी_1	hook_2	noun
158	अँकुसी_2	firerake_1	noun
159	अँकुसी_3	poker_1	noun
165	अँकोर_1	gift_1	noun
166	अँकोर_2	bribe_1	noun
169	अँकोर_3	embrace_12	verb
171	अँकोर_4	dry_2	verb
172	अँकोर_5	heat_1	verb
173	अँकोर_6	warm_1	verb
177	अँखुआ_1	sprout_3	noun
178	अँखुआ_2	shoot_3	noun
179	अंग_1	limb_1	noun
180	अंग_2	member_1	noun
181	अंग_3	organ_1	noun
182	अंग_4	body_2	noun
183	अंग_5	part_1	noun
184	अंग_6	constituent_1	noun
185	अंग_7	branch_1	noun
186	अंग_8	genre_1	noun
187	अंग_9	section_1	noun
188	अंग_10	member_2	noun
189	अंग_11	group_1	noun
190	अंग_12	side_1	noun
191	अंग_13	aspect_1	noun
194	अंग+कर_1	accept_1	verb
196	अंग+कर_2	incorporate_1	verb
197	अंग+गोद_1	tattoo_1	verb
198	अंग+का_1	tattoo_2	verb
208	अंग+मोड़_1	turn_1	verb
210	अंग+मोड़_2	yawn_1	verb
211	अंग+मोड़_3	turn_2	verb
214	अंग+लगा_1	embrace_13	verb
217	अंग+लगा_2	join_1	verb
218	अंग-घाट_1	paralysis_1	noun
219	अंग-घाट_2	stroke_1	noun
221	अंगज_1	adj_1	adj
223	अंगज˚आ_1	daughter_1	noun
225	अंगजात_1	m_1	noun
226	अंगजात_2	son_1	noun
227	अंगजात˚आ_1	daughter_2	noun
231	अंग-भंग_1	mutilated_1	adj
232	अंग-भंग_2	crippled_1	adj
236	अंगभूत_1	incorporated_1	adj
237	अंगभूत_2	assimilated_1	adj
238	अंग-मर्दन_1	massage_1	noun
239	अंग-मोड़ी_1	f_1	noun
240	अंग-रक्षक_1	protector_1	noun
241	अंग-रक्षक_2	bodyguard_1	noun
247	अंगहीन_1	bodiless_1	adj
248	अंगहीन_2	limbless_1	adj
249	अंगहीन_3	mutilated_2	adj
251	अंगीकरण_1	assent_1	noun
252	अंगीकरण_2	agreement_1	noun
253	अंगीकरण_3	acceptance_1	noun
254	अंगीकरण_4	acknowledgment_1	noun
255	अंगीकार_1	assent_2	noun
257	अंगीकार_2	assent_3	verb
258	अंगीकार_3	accept_2	verb
259	अंगीकार_4	admit_1	verb
260	अंगीकार_5	undertake_1	verb
261	अंगीकार_6	promise_1	verb
262	कर_1	assent_4	verb
263	कर_2	accept_3	verb
264	कर_3	admit_2	verb
265	कर_4	undertake_2	verb
266	कर_5	promise_2	verb
268	अंगीकृत_1	accepted_1	adj
271	अंगड़-खंगड़_1	junk_1	adj
272	अंगड़-खंगड़_2	rubbish_1	adj
273	अंगड़-खंगड़_3	rundown_1	adj
274	अंगड़-खंगड़_4	dilapidated_1	adj
275	अंगड़-खंगड़_5	town_1	adj
277	अँगड़ाई+ले_1	twist_1	verb
278	अँगड़ाई+ले_2	stretch_1	verb
279	अँगड़ा_1	twist_2	verb
280	अँगड़ा_2	stretch_2	verb
281	अँगड़ाना_1	limbs_1	noun
283	अँगनई_1	reg_1	noun
284	अंगना_1	woman_1	noun
287	अँगरी_1	armour_1	noun
289	अंगलेट_1	physique_1	noun
291	अंगा_1	nurse_1	noun
292	अंगा_2	nursema_1	noun
297	अंगारा_1	spark_1	noun
298	अंगारा_2	cinder_1	noun
302	अंगारा_3	raging_1	noun
305	अंगारे+का+कीड़ा_1	salamander_1	noun
322	अंगारी_1	brazier_1	noun
325	अंगारी_2	scintilla_1	noun
326	अँगिया_1	bodice_1	noun
327	अँगिया_2	brassiere_1	noun
329	अंगी_1	leading_1	adj
330	अंगी_2	prominent_1	adj
331	अंगी_3	m_2	adj
336	अँगीठा_1	firestand_1	noun
338	अँगीठी_1	brazier_2	noun
339	अँगीठी_2	grate_1	noun
340	अँगीठी_3	stove_1	noun
344	अंगुल_1	thumb_1	noun
347	अंगुलि-छाप_1	fingerprint_1	noun
348	प्रतिमुद्रा_1	fingerprint_2	noun
352	अंगुश्त_1	notorious_1	noun
353	अंगुश्त_2	vilified_1	noun
355	अंगुश्तनुमा_1	notorious_2	noun
356	अंगुश्तनुमा_2	vilified_2	noun
357	अंगुश्ताना_1	thimble_1	noun
358	अंगुश्ताना_2	ring_1	noun
359	अंगुष्ठ_1	thumb_2	noun
362	अँगूठा_1	thumb_3	noun
364	अँगूठा+चूम_1	grovel_1	verb
365	अँगूठा+चूम_2	toady_1	verb
372	अँगूठी_1	ring_2	noun
373	अँगूठी+कर_1	surround_1	verb
375	अंगूर_1	grape_1	noun
380	अँगूर_1	sprout_4	noun
381	अँगूर_2	shoot_4	noun
383	अँगूरी+बाग_1	vineyard_1	noun
386	अँगोछा_1	cloth_1	noun
387	अँगोछा_2	towel_1	noun
389	अँगोछी_1	towel_2	noun
390	अँगोट_1	EH_1	noun
391	अँगोरा_1	mosquito_1	noun
396	अँग्रेज़_1	Englishman_1	noun
397	अँग्रेज़िन_1	Englishwoman_1	noun
400	अँग्रेज़ियत_1	Anglicism_1	noun
401	अँग्रेज़ी_1	English_1	adj
402	अँग्रेज़ी_2	British_1	noun
403	अँग्रेज़ी_3	western_1	noun
411	अँग्रेज़ीपसंद_1	anglophile_1	noun
419	अंचल_1	transedge_1	noun
421	अंचल_2	region_1	noun
422	अंचल_3	tract_1	noun
423	अंचल_4	zone_1	noun
427	अंछर_1	spell_1	noun
428	अंछर_2	charm_1	noun
431	अंजन_1	lampblack_1	verb
433	अंजन_2	antimony_1	noun
436	अंजनकेश_1	blackhaired_1	adj
446	अंजनी_1	woman_2	noun
450	अंजनी-कुमार_1	m_3	noun
457	अंजर-पंजर_1	skeleton_1	noun
458	अंजर-पंजर_2	joints_1	noun
459	अंजर-पंजर_3	parts_1	noun
460	अंजर-पंजर_4	machine_1	noun
464	अंजरा_1	nettle_1	noun
472	अंजाम_1	end_1	noun
473	अंजाम_2	completion_1	noun
474	अंजाम_3	conclusion_1	noun
475	अंजाम_4	result_1	noun
476	अंजाम_5	upshot_1	noun
479	अंजाम+दे_1	finish_1	verb
480	अंजाम+दे_2	manage_1	verb
482	अंजाम+को_1	finish_2	verb
483	अंजाम+को_2	manage_2	verb
485	अंजीर_1	figtree_1	noun
487	अंजुमन_1	society_1	noun
488	अंजुमन_2	assembly_1	noun
492	अँजोरा_1	bright_1	adj
493	अंझा_1	interval_1	noun
494	अंझा_2	postponement_1	noun
495	अंट_1	twist_3	noun
496	अंट_2	entanglement_1	noun
497	अंट+की+संट_1	incoherent_1	adj
498	अंट+की+संट_2	rambling_1	adj
499	अंट+की+संट_3	inappropriate_1	adj
502	अँट_1	fit_1	verb
505	अँट_2	suffice_1	verb
508	अँटवा_1	cram_1	verb
510	अंटा_1	ball_1	noun
511	अंटा_2	marble_1	noun
512	अंटा_3	pill_1	noun
513	अंटा_4	transbilliards_1	noun
519	अँटिया_1	bundle_1	noun
520	अँटिया_2	bunch_1	noun
521	अँटिया_3	handful_1	noun
525	अंटी_1	24_1	noun
528	अंटी+कर_1	wind_1	verb
533	अंटी+कर_2	pilfer_1	verb
539	अँठला_1	stutter_1	verb
540	अँठली_1	dimin_1	noun
541	अंड_1	egg_1	noun
542	अंड_2	testicle_1	noun
546	अंड-कटाह_1	world_1	noun
547	अंड-कोश_1	scrotum_1	noun
548	अंड-कोश_2	muskbag_1	noun
549	अंड-कोश_3	transrupture_1	noun
550	अंड-कोश_4	hernia_1	noun
551	कोष_1	scrotum_2	noun
552	कोष_2	muskbag_2	noun
553	कोष_3	transrupture_2	noun
554	कोष_4	hernia_2	noun
555	अंडज_1	eggborn_1	adj
557	अंडज_2	fish_1	adj
558	अंडज_3	birds_1	adj
560	अंड-वृत्त_1	ellipse_1	noun
561	अंडाकार_1	eggshaped_1	noun
562	अंडाकार_2	oval_1	noun
563	अंडाकार_3	elliptical_1	noun
564	अंडाकृति_1	oval_2	noun
565	अंडाकृति_2	ellipse_2	noun
566	अंडाशय_1	ovaries_1	noun
568	अंड-बंड_1	entangled_1	adj
569	अंड-बंड_2	incoherent_2	adj
570	अंडा_1	egg_2	noun
583	अंडा+से_1	brood_1	verb
585	अंडा+सेना_1	stayathome_1	noun
