	Unnamed: 0	word	meaning	pos
0	2	अकार_1	letter_1	noun
1	7	अंक_12	spot_1	noun
2	8	अंक_13	line_1	noun
3	9	अंक_14	stamp_1	noun
4	10	अंक_15	brand_1	noun
5	11	अंक_16	pricemark_1	noun
6	13	अंक_17	syllable_1	noun
7	16	अंक_18	issue_1	noun
8	19	अंक_19	valuation_1	noun
9	22	अंक_20	hip_1	noun
10	25	अंक_21	body_1	noun
11	26	अंक+दे_1	embrace_1	verb
12	27	अंक+भर_1	embrace_2	verb
13	28	अंक+लगा_1	embrace_3	verb
14	36	अंकधारी_1	1_1	adj
15	39	अंक-पत्र_1	stamp_2	noun
16	40	अंक-पत्र_2	revenue_1	noun
17	41	अंक-माल_1	embrace_4	noun
18	42	अंक-शास्त्र_1	statistics_1	noun
19	43	अंक-शास्त्र˚ई_1	statistician_1	noun
20	44	अंकेक्षक_1	auditor_1	noun
21	45	अंकेक्षण_1	auditing_1	noun
22	46	अंकेक्षा_1	auditing_2	noun
23	47	अंकेक्षा_2	audit_1	noun
24	48	अंकक_3	stamp_3	noun
25	49	अंकक_4	seal_1	noun
26	52	अँकड़ा_1	hook_1	noun
27	54	अँकड़ा_2	arrowhead_1	noun
28	57	अँकड़ा_3	parch_1	verb
29	58	अँकड़ा_4	dry_1	verb
30	59	अँकड़ाहट_1	shrinking_1	noun
31	60	अँकड़ाहट_2	crispness_1	noun
32	61	अँकड़ाहट_3	dryness_1	noun
33	62	अँकड़ाहट_4	cramp_1	noun
34	65	अँकड़ी_1	arrowhead_2	noun
35	66	अँकड़ी_2	barb_1	noun
36	67	अंकन_6	outlining_1	noun
37	68	अंकन_7	drawing_1	noun
38	70	अंकन_8	noting_1	noun
39	71	अंकन_9	registering_1	noun
40	72	अंकन_10	valuing_1	noun
41	73	अंकन_11	appraising_1	noun
42	75	अँकना_1	appraised_1	noun
43	76	अँकना_2	assessed_1	noun
44	83	अँकरौरी_1	shard_1	noun
45	85	अँकवार_1	embrace_5	noun
46	86	अँकवार_2	bosom_1	noun
47	87	अँकवार_3	lap_1	noun
48	88	अँकवार_4	breast_1	noun
49	90	अँकवार+दे_1	embrace_6	verb
50	91	अँकवार+को_1	embrace_7	verb
51	92	अँकवार+भर_1	embrace_8	verb
52	95	अँकवार+ले_1	embrace_9	verb
53	96	अँकवार+को_2	embrace_10	verb
54	97	अँकवैया_1	valuer_1	noun
55	98	अँकवैया_2	appraiser_1	noun
56	99	अँकवैया_3	assessor_1	noun
57	104	अँकाव_1	valuation_2	noun
58	105	अँकाव_2	appraisal_1	noun
59	106	अंकित_5	numbered_1	adj
60	107	अंकित_6	noted_1	adj
61	109	अंकित_7	ruled_1	adj
62	110	अंकित_8	stamped_1	adj
63	111	अंकित_9	branded_1	adj
64	112	अंकित_10	lettered_1	adj
65	113	अंकित_11	outlined_1	adj
66	114	अंकित_12	drawn_1	adj
67	115	अंकित_13	spotted_1	adj
68	116	अंकित_14	stained_1	adj
69	117	अँकुड़ा_1	see_1	noun
70	119	अंकुर_3	shoot_1	noun
71	120	अंकुर_4	bud_1	noun
72	121	अंकुर_5	scar_1	noun
73	127	अंकुरक_1	nest_1	noun
74	128	अंकुरण_1	sprouting_1	noun
